Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,3,213.00,1.89,0.02,0.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,352,213.00,221.56,2.10,0.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,975,212.60,612.54,5.80,75.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,167,213.00,105.11,1.00,0.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,95,213.00,59.80,0.57,0.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,97,213.00,61.05,0.58,0.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,35,213.00,22.03,0.21,0.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,23,213.00,14.48,0.14,0.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,277,213.00,174.35,1.65,0.00,TT,STT Paid,icicidirect,25-Aug-2023,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,853,330.50,833.26,8.94,50.00,TT,STT Paid,icicidirect,21-Oct-2024,NSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,147,330.50,143.60,1.54,0.00,TT,STT Paid,icicidirect,21-Oct-2024,NSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,264,229.35,179.04,2.33,0.00,TT,STT Paid,icicidirect,25-Feb-2025,BSE,
JIOFIN,JIO FINANCIAL SERVICES LIMITED,INE758E01017,Buy,586,229.30,397.32,5.17,29.70,TT,STT Paid,icicidirect,25-Feb-2025,BSE,
LANCON,LANCER CONTAINER LINES LIMITED,INE359U01028,Buy,129,16.92,6.45,0.06,0.00,TT,STT Paid,icicidirect,24-Mar-2025,BSE,
LANCON,LANCER CONTAINER LINES LIMITED,INE359U01028,Buy,2871,16.92,143.55,1.38,8.00,TT,STT Paid,icicidirect,24-Mar-2025,BSE,
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,Buy,138,289.27,117.99,1.27,6.03,TT,STT Paid,icicidirect,06-Feb-2026,NSE,
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,Buy,143,279.49,118.13,1.27,6.04,TT,STT Paid,icicidirect,06-Mar-2026,NSE,
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,Buy,155,256.67,117.59,1.26,6.10,TT,STT Paid,icicidirect,06-Apr-2026,NSE,
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,Buy,146,272.94,117.78,1.26,6.02,TT,STT Paid,icicidirect,06-May-2026,NSE,
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,Buy,7,263.64,6.33,0.06,0.00,TT,STT Paid,icicidirect,08-Jun-2026,NSE,
NIFBEE,NIPPON INDIA ETF NIFTY 50 BEES,INF204KB14I2,Buy,144,263.63,130.13,1.20,6.07,TT,STT Paid,icicidirect,08-Jun-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,27,735.04,58.66,0.63,2.98,TT,STT Paid,icicidirect,06-Feb-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,27,732.07,58.42,0.63,2.96,TT,STT Paid,icicidirect,06-Mar-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,3,669.71,5.94,0.06,0.00,TT,STT Paid,icicidirect,06-Apr-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,26,669.72,51.47,0.55,2.91,TT,STT Paid,icicidirect,06-Apr-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,22,765.44,49.77,0.53,2.99,TT,STT Paid,icicidirect,06-May-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,1,765.44,2.26,0.02,0.00,TT,STT Paid,icicidirect,06-May-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,3,765.44,6.79,0.07,0.00,TT,STT Paid,icicidirect,06-May-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,20,751.17,51.50,0.48,2.93,TT,STT Paid,icicidirect,08-Jun-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,5,751.16,12.87,0.12,0.00,TT,STT Paid,icicidirect,08-Jun-2026,NSE,
NIFJUN,NIPPON IND ETF NIFNXT50 JR BEE,INF732E01045,Buy,1,751.16,2.57,0.02,0.00,TT,STT Paid,icicidirect,08-Jun-2026,NSE,
NIPSIL,NIPPON INDIA SILVER ETF,INF204KC1402,Buy,18,241.18,12.83,0.14,0.72,TT,STT Paid,icicidirect,10-Feb-2026,NSE,
NIPSIL,NIPPON INDIA SILVER ETF,INF204KC1402,Buy,2,241.18,1.43,0.02,0.00,TT,STT Paid,icicidirect,10-Feb-2026,NSE,
NIPSIL,NIPPON INDIA SILVER ETF,INF204KC1402,Buy,21,228.34,14.17,0.15,0.72,TT,STT Not Paid,icicidirect,10-Apr-2026,NSE,
NIPSIL,NIPPON INDIA SILVER ETF,INF204KC1402,Buy,20,241.43,14.27,0.15,0.72,TT,STT Not Paid,icicidirect,11-May-2026,NSE,
NIPSIL,NIPPON INDIA SILVER ETF,INF204KC1402,Buy,22,220.80,16.65,0.15,0.73,TT,STT Not Paid,icicidirect,10-Jun-2026,NSE,
PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,Buy,659,19.87,38.70,0.42,0.00,TT,STT Paid,icicidirect,23-Dec-2024,NSE,
PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,Buy,1000,19.94,58.94,0.63,0.00,TT,STT Paid,icicidirect,23-Dec-2024,NSE,
PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,Buy,2085,19.95,122.94,1.32,15.00,TT,STT Paid,icicidirect,23-Dec-2024,NSE,
PRAHOM,PRAXIS HOME RETAIL LIMITED,INE546Y01022,Buy,216,19.88,12.69,0.14,0.00,TT,STT Paid,icicidirect,23-Dec-2024,NSE,
