Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,25,141.68,2.95,0.12,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,12,141.67,1.41,0.06,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,14,141.57,1.65,0.07,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.48,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,6,141.58,0.71,0.03,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,14,141.62,1.65,0.07,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,18,141.54,2.12,0.09,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,2,141.63,0.24,0.01,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,33,141.52,3.89,0.16,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,174,141.58,20.50,0.84,29.73,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,1,141.55,0.12,0.00,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,6,141.62,0.71,0.03,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
DHABIO,DHAMPUR BIO ORGANICS LIMITED,INE0I3401014,Buy,11,141.51,1.30,0.05,0.00,TT,STT Paid,icicidirect,04-Sep-2024,NSE,
